(10570,8328)                (10570,8623)  
(10571,13717)               (10571,14331) 
(10572,6426)                (10572,6782)  
(10573,4851)                (10573,5008)  
(10574,9631)                (10574,10543) 
(10575,13139)               (10575,16725) 
(10576,3243)                (10576,3367)  
(10578,1119)                (10578,1241)  
(10579,416)                 (10579,433)   
(10580,9848)                (10580,10825) 
(10581,19267)               (10581,20679) 
(10582,65802)               (10582,66752) 
(10583,11824)               (10583,12071) 
(10584,6240)                (10584,6348)  
(10585,8140)                (10585,8534)  
(10586,763)                 (10586,896)   
(10587,365)                 (10587,412)   
(10591,29780)               (10591,33259) 
(10592,16920)               (10592,18028) 
(10593,129811)              (10593,131804)
(10594,164538)              (10594,169382)
(10595,170578)              (10595,173760)
(10596,19325)               (10596,21040) 
(10597,39064)               (10597,42968) 
(10598,38633)               (10598,42532) 
(10599,17319)               (10599,17744) 
(10600,37361)               (10600,39222) 
(10602,250733)              (10602,257909)
(10603,265289)              (10603,271495)
(10605,227801)              (10605,236809)
(10608,178210)              (10608,182089)
(10609,31810)               (10609,34343) 
(10610,128928)              (10610,142572)
(10611,92877)               (10611,96682) 
(10612,112603)              (10612,128055)
(10613,58580)               (10613,61047) 
(10614,31865)               (10614,33710) 
(10615,126366)              (10615,133840)
(10616,82686)               (10616,92951) 
(10617,17542)               (10617,20077) 
(10618,61852)               (10618,69506) 
(10619,105778)              (10619,109798)
(10620,166296)              (10620,175632)
(10621,160433)              (10621,163450)
(10622,169060)              (10622,170431)
(10623,170451)              (10623,173533)
