259,1002,1001,10136:1002
10139,10138,10076,176:1001
10093,10096,230,10095:999
520,136,10081,137:999
1176,182,1176,182:998
10405,10124,10123,171:997
1070,10612,10637,181:993
1164,1,2,2:992
228,1034,10610,10636:991
1415,10113,10110,10109:990
73,2,10005,1:988
275,238,254,151:979
581,10084,10127,10091:978
587,588,590,591:977
10616,1014,1016,1015:977
231,1048,10107,10111:975
259,1089,242,1088:974
1015,1016,1014,10637:973
1014,1016,1015,1165:973
73,10130,10088,179:972
82,82,10073,1167:971
1087,1088,1088,10098:969
10113,10125,10062,10144:968
10005,1,93,118:965
10093,10096,10095,10097:964
1115,1301,573,574:963
1107,82,10073,1167:963
143,1165,579,149:962
10013,10014,259,230:960
226,97,10091,136:959
65,10017,67,10132:959
1015,1016,1014,1070:958
10070,10126,1018,10068:957
1164,1,243,252:957
10093,10413,10094,10094:953
10406,10128,10403,253:953
263,268,1171,263:950
10131,149,1166,10145:950
1165,10013,10014,270:949
1066,1067,1068,10120:949
10568,10122,10104,10068:948
1115,1082,1081,103:947
10636,10610,10089,10635:947
137,10081,136,149:947
1165,10004,1166,10145:946
10057,10056,5,1070:942
10115,10115,10077,10076:940
1002,1001,1165,145:939
274,10410,5,1070:939
1030,10085,10058,1026:938
10145,1166,1015,1073:937
242,1089,1088,10098:936
10096,230,230,10096:936
10115,10077,10076,1026:934
1164,1,2,10140:932
138,1046,10110,10109:930
1016,1015,1166,270:930
1074,1077,1079,1080:928
10097,10095,10096,10098:926
111,145,142,144:925
1001,1165,1171,263:922
91,10092,10099,92:921
259,10013,10014,1414:921
227,10013,10014,270:918
274,182,182,274:916
10109,10110,10110,10109:916
10103,1041,10129,248:914
236,255,10006,10002:913
1002,259,10095,10097:913
228,10637,10612,181:912
226,10057,10056,1107:911
1001,1002,259,242:910
1165,1015,1016,1014:908
10094,10413,10413,10094:907
5,10595,10117,10087:906
1014,1014,1016,1015:906
226,95,1413,263:905
1014,1079,1077,78:904
10099,1057,1055,92:903
1164,2,10627,1414:902
274,10410,1014,1016:902
1115,1301,572,574:902
10129,248,10013,10014:900
10056,10057,95,116:900
274,10410,82,274:898
231,10107,10107,138:898
149,136,10081,137:898
1413,263,230,10096:898
586,588,590,591:897
588,587,588,589:895
10109,1046,1043,10113:895
98,93,108,115:894
226,10057,10056,247:892
10139,10139,10138,176:890
10134,1015,1016,1014:889
