10624,10605,10625,10594,10632,10080,10593,163,10082:86
5,10629,10615,10086,10105,10118,10105,10086,10615:86
228,10610,10636,10617,10595,10594,10632,10593,163:85
1014,1070,10602,10603,10605,10624,10623,10622,10621:85
1079,1077,1074,1073,1068,1067,1066,1166,10145:85
10597,10633,10595,10594,10632,10080,10593,163,10082:85
88,139,137,10081,136,136,10081,137,139:85
234,10608,10606,10634,10087,10117,10595,10594,10632:85
10108,10080,10632,10594,10595,10117,10087,10633,10597:84
234,71,10608,72,10606,10620,10621,10622,10623:84
10595,10117,10087,10634,10609,72,10608,1181,269:84
579,149,10568,10122,59,10104,10068,1018,10126:84
156,10568,10122,59,10104,10068,10126,160,10070:83
234,71,10608,10635,10089,1034,10610,10636,10611:83
133,87,137,10081,136,10084,10127,10091,97:83
1020,1019,75,166,1026,175,10058,10085,1030:82
10082,10593,10080,10632,10594,10595,10087,10633,10597:82
228,1034,10610,10636,10624,10605,10603,10602,1069:82
228,1035,1034,10610,10636,10617,10595,10594,10632:82
10087,10633,10597,10634,10609,10606,10608,71,1181:82
10602,10603,10605,10624,10623,10622,10621,10620,10033:81
107,144,142,145,143,1122,10100,260,10135:81
143,145,142,144,107,144,142,145,143:81
10568,10122,59,10104,10068,10104,59,10122,10568:81
10624,10605,10603,10602,1069,5,10005,1,10078:81
10602,10603,10605,10624,10623,10622,10621,10613,10596:81
10071,10123,10124,171,10405,1025,1028,1027,10076:80
10013,10014,259,1089,242,1088,1087,10098,10093:80
574,575,573,572,1115,1303,1302,1301,1082:80
10126,1018,10068,10104,59,10122,10568,1023,1022:80
10123,10124,10405,1025,1028,171,1027,10076,10077:80
10070,10126,1018,10104,59,10122,10568,156,1173:79
91,1056,10064,10078,10090,93,93,108,115:79
266,10070,10126,1018,10068,10104,59,10122,10568:78
10636,10610,1034,10089,10635,10618,10608,71,1181:78
1166,10568,10122,59,10104,10068,10126,160,10070:78
10145,1166,10568,10122,10104,10068,10126,160,10070:78
1069,10602,10603,10605,10624,10623,10622,10621,1182:78
10082,10080,10632,10594,10595,10117,10087,10633,10597:78
10122,59,10104,10068,1018,10126,160,10070,172:78
73,10130,10088,179,1069,10602,10603,10605,10624:78
94,10064,91,10092,10099,1057,92,84,85:77
579,149,1015,1016,1074,1077,1079,1080,1414:77
10638,1180,253,10403,252,5,1014,1016,1015:77
10140,10118,10105,10086,10128,10403,253,10638,1180:76
226,97,10091,136,10081,137,139,1042,87:76
10625,10603,10600,10612,10611,10636,10610,1034,1182:76
10082,10593,10080,10632,10594,10595,10117,10087,10087:76
93,10090,10078,10078,10090,93,93,108,115:76
259,1002,1001,579,149,10568,10122,59,10104:76
10064,1056,91,10092,10099,1057,92,84,149:76
1009,1008,1007,1006,1005,1004,1003,1001,1165:76
234,10608,72,10635,10089,1034,10610,10636,10611:75
10638,1180,53,10072,10005,1,10078,100,10066:75
10117,10087,10634,10609,10606,72,10608,71,1181:75
10087,10117,10595,10594,10632,10080,163,10593,10082:75
10096,230,10095,10097,10097,10095,230,10096,10098:75
591,590,588,586,586,587,588,590,591:75
93,1164,1037,82,5,10602,10603,10605,10624:75
10070,10126,10068,10104,59,10122,10568,1166,10145:74
10082,10082,10593,10080,10632,10594,10595,10117,10087:74
247,82,5,10602,10600,10612,10603,10602,5:74
574,575,573,1115,572,1303,1302,1082,1081:74
10118,10105,10086,10128,10403,10403,253,10638,1180:74
1166,10568,10122,10104,10068,1018,10126,160,10070:74
10620,10613,10596,10117,10595,10594,10632,10080,10406:73
10602,10603,10605,10624,10624,10605,10603,10602,1069:73
160,10070,10082,10593,10080,10632,10594,10625,10603:73
10066,102,10092,91,1056,10064,10078,10090,93:73
