274,10410,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:25
10082,10593,10080,10632,10594,10595,10117,10117,10087,10634,10609,10606,72,10608,71,1181:24
10145,10133,1067,1068,1073,1074,1077,1079,1079,1077,1074,1073,1068,1067,1066,1166:24
95,1164,1,2,10628,10108,10088,1069,10602,10603,10605,10624,10623,10622,10621,10620:24
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10602,5,10056,10057:24
234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,5,274:23
10082,10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10606,72,10608,71,1181:23
160,10070,10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10606,72,10608,1181:23
1030,10128,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,71,1181:23
234,71,10608,72,10606,10619,10620,10621,10622,10617,10595,10594,10632,10593,163,10082:23
10128,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:22
10082,10593,10080,10632,10594,10595,10117,10087,10597,10634,10609,10606,72,10608,71,1181:22
10086,10615,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:21
10130,10088,10602,10603,10605,10624,10623,10622,10621,10620,10033,10619,10606,72,10608,1181:21
234,10608,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,237,10088,10130,73:21
234,71,10608,72,10634,10087,10117,10595,10594,10632,10080,10593,163,10082,10070,173:21
234,71,10608,72,10606,10619,10620,10621,10621,10620,10619,10606,72,10608,71,1181:21
160,10070,10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10606,10608,71,1181:21
269,234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,5:21
10082,10593,10080,10632,10594,10595,10117,10633,10597,10634,10609,10606,72,10608,71,1181:21
10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,71,71,1181:21
10602,10603,10605,10624,10623,10622,10621,10620,10033,10619,10038,10606,10608,71,71,1181:21
10142,5,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:21
234,71,10608,10606,10619,10620,10621,10622,10623,10624,10605,10602,237,10088,10130,240:20
234,10608,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,1069,237,10088,10130:20
10086,10615,1070,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,71,1181:20
1070,10612,10611,10636,10610,1034,181,10089,10635,1108,10618,10606,72,10608,71,1181:20
234,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,1070,10629,10615:20
10130,10088,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,72,10608,71,1181:20
71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,237,10088,10130:20
10130,10088,10602,10603,10605,10624,10623,10622,10621,10620,10033,10619,10606,10608,71,1181:20
10145,1067,1068,1073,1074,1077,1079,1079,1077,1074,1073,1068,1067,1066,1166,10145:20
10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10606,72,10608,71,1181,1181:20
73,10088,179,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,71,1181:19
73,10130,10088,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,71,1181:19
82,5,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:19
234,10608,72,10619,10620,10621,10622,10623,10624,10605,10603,10602,237,10088,10130,240:19
10145,10133,1067,1068,1073,1074,1077,1079,1079,1077,1074,1073,1067,1066,1166,10145:19
234,10608,10606,10619,10620,10621,10622,10623,10617,10595,10594,10632,10080,10593,163,10082:19
234,71,10608,72,10606,10038,10619,10620,10621,10622,10623,10624,10605,10603,10602,237:19
10602,10603,10605,10624,10623,10622,10621,10620,10620,10621,10622,10623,10624,10605,10603,10602:19
10130,10088,179,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,1181:19
10082,10593,10080,10632,10594,10595,10117,10623,10622,10621,10620,10619,10606,72,10608,1181:19
10591,10082,10593,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10608,71,1181:19
73,10130,10088,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,1181:19
266,10082,10593,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,10608,1181:19
234,71,10608,72,10619,10620,10622,10623,10624,10605,10603,10602,237,10088,10130,73:19
1030,10406,10128,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,10608,71,1181:19
164,10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10606,72,10608,71,1181:18
10620,10621,10622,10623,10624,10605,10603,10602,237,10088,10130,73,275,238,254,236:18
73,10088,179,1069,10602,10605,10624,10623,10622,10621,10620,10606,72,10608,71,1181:18
234,71,10608,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,1070,10629,10615:18
234,71,10608,10606,10619,10620,10621,10622,10623,10624,10605,10602,1069,237,10088,10130:18
234,71,10608,72,10606,10038,10619,10033,10620,10621,10622,10623,10624,10605,10603,10602:18
234,71,10608,72,10606,10634,10597,10633,10087,10595,10594,10632,10080,10593,163,10082:18
234,71,10608,72,10606,10634,10087,10117,10595,10594,10632,10593,163,10082,10070,173:18
73,10130,10088,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,1181:17
234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,1070,10629:17
10130,10088,179,1069,10602,10603,10605,10624,10623,10622,10621,10620,10606,10608,71,1181:17
73,10088,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,71,1181:17
10118,10105,10086,10615,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,1181:17
10598,10599,1030,10406,10128,10632,10594,10595,10117,10087,10634,10609,10606,10608,71,1181:17
100,10066,1001,1003,1004,1005,1006,1005,1004,1001,10091,10066,102,91,1056,10064:17
234,71,10608,72,10606,10634,10087,10117,10595,10594,10632,10080,10593,163,10082,10070:17
234,71,10608,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,10629,10615,10086:17
10140,10105,10615,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,71,1181:17
10608,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,237,10088,10130,73,240:17
10603,10625,10594,10632,10080,10593,163,10082,10082,10593,10080,10632,10594,10625,10603,10600:17
10598,10599,1030,10128,10632,10594,10595,10117,10087,10634,10609,10606,72,10608,71,1181:16
1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181,269:16
1030,10406,10128,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,1181:16
234,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10602,1069,237,10088,10130:16
234,71,10608,72,10606,10634,10087,10117,10595,10594,10632,10080,10593,10626,73,240:16
10082,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,71,1181:16
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,10056,10057:16
234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,1070,10616:16
94,10064,91,10092,10099,102,10066,97,94,10064,91,10092,10099,102,10066,97:16
10133,1067,1068,1073,1016,1074,1077,1079,1079,1077,1074,1016,1073,1068,1067,10133:16
234,71,10608,72,10606,10620,10621,10622,10623,10624,10605,10602,1069,237,10088,10130:16
234,71,10608,72,10606,10634,10087,10117,10595,10594,10632,10080,10406,1030,10085,10124:16
10082,10593,10080,10632,10594,10595,10087,10633,10597,10634,10609,10606,72,10608,71,1181:16
234,71,10608,10606,10620,10621,10622,10623,10624,10605,10602,1069,237,10088,10130,240:16
1070,10612,10611,10636,181,10610,1034,10089,10635,1108,10618,10606,72,10608,71,1181:16
234,71,10608,10606,10620,10622,10623,10624,10605,10603,10602,1069,237,10088,10130,240:16
234,71,10608,72,10606,10634,10087,10117,10595,10594,10632,10632,10080,10593,163,10082:15
10082,10593,10080,10632,10594,10595,10117,10623,10622,10621,10620,10606,72,10608,71,1181:15
10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,237,10088,10130,240:15
239,73,10088,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,71,1181:15
92,1055,1057,10099,10092,91,1056,10064,10064,1056,91,10092,10099,1057,1055,92:15
234,71,10608,72,10606,10620,10613,10596,10117,10595,10594,10632,10080,10593,163,10082:15
10082,10593,10080,10632,10594,10595,10623,10622,10621,10620,10619,10606,72,10608,71,1181:15
10085,1030,10406,10128,10632,10594,10595,10117,10087,10634,10609,10606,72,10608,71,1181:15
1070,10612,10611,181,10636,10610,1034,10089,10635,1108,10618,10606,72,10608,71,1181:15
